Home,HxG,Score,AxG,Away,HPoss,APoss,HPass,APass,HSoT,ASoT,Hsave,ASave,HPlayer1,HPlayer2,HPlayer3,APlayer1,APlayer2,APlayer3,HRank,ARank,HKP,AKP,HxA,AxA,H1/3,A1/3,HProg,AProg
Zenit ru,1.3,1–2,2,be Club Brugge,53,47,75,74,3,4,2,3,7.7,7.3,7,7.7,7.6,7.2,27,43,11,8,1.2,1.6,27,32,33,39
Dynamo Kyiv ua,0.3,0–2,1.2,it Juventus,48,52,84,86,4,6,4,4,7.2,7,6.9,8.7,8,7.7,32,3,5,8,0.2,0.7,25,35,26,42
Chelsea eng,0.5,0–0,0.3,es Sevilla,44,56,80,82,4,2,2,4,7.7,7.3,7.3,7.4,7.3,7.2,13,8,4,5,0.4,0.2,29,35,32,37
Barcelona es,3.1,5–1,1.1,hu Ferencváros,62,38,90,86,11,1,1,7,9.4,7.9,7.8,7,6.8,6.4,2,113,16,4,2.2,0.3,56,30,40,26
RB Leipzig de,1.3,2–0,0.6,tr Başakşehir,42,58,77,77,6,3,3,4,8.3,8.2,7.6,7.2,7.1,6.9,21,59,11,6,1.1,0.6,24,29,30,28
Rennes fr,2.4,1–1,1.3,ru Krasnodar,63,37,84,75,6,3,2,6,7.8,7.6,7.6,8,7.2,7,75,44,17,8,1.5,1.2,41,19,37,35
Paris S-G fr,0.9,1–2,1.6,eng Manchester Utd,60,40,82,78,4,5,4,4,7.5,7.4,7.1,8,7.7,7.4,7,9,10,11,0.8,0.6,26,24,34,34
Lazio it,1.4,3–1,1.9,de Dortmund,36,64,77,87,4,7,6,2,8.2,7.6,7.4,8,7.5,7.2,31,12,8,11,1,1.6,22,52,24,47
Real Madrid es,0.9,2–3,1.3,ua Shakhtar,59,41,86,85,5,5,3,3,7.6,7.6,7.4,7.2,7.1,7,4,17,10,6,0.3,1.3,71,17,39,17
RB Salzburg at,1.1,2–2,0.5,ru Loko Moscow,56,44,77,71,7,3,1,5,8.1,7.2,7,7.4,7.2,7.2,22,51,13,5,1,0.5,44,27,67,39
Manchester City eng,1.8,3–1,0.4,pt Porto,67,33,83,73,5,2,1,2,7.5,7.4,7.2,7.3,6.7,6.6,6,14,4,3,0.8,0.2,37,10,36,15
Bayern Munich de,1.8,4–0,0.5,es Atlético Madrid,58,42,85,76,5,1,1,1,9.2,8,7.4,7,6.7,6.7,1,5,11,5,1.7,0.4,35,23,37,38
Inter it,2.4,2–2,1.2,de M'Gladbach,57,43,84,75,4,1,0,2,8.2,7.6,7.3,7.5,7.5,7.4,25,47,12,4,1,0.4,36,23,44,21
Ajax nl,1.4,0–1,1.8,eng Liverpool,48,52,73,75,3,6,6,3,7.6,7.5,7.4,8.7,7.8,7.6,19,10,8,12,1.2,1.6,22,36,38,57
Midtjylland dk,0.9,0–4,3.3,it Atalanta,48,52,79,81,3,10,5,3,6.9,6.9,6.8,8.2,7.9,7.5,112,26,6,13,0.7,2.5,23,31,28,40
Olympiacos gr,1.2,1–0,0.9,fr Marseille,51,49,80,81,3,2,2,2,7.7,7.3,7.3,7.3,7.2,7.1,37,55,8,6,0.8,0.7,33,23,30,27
